ids,time,tweet_text,tag
1.38806e+18,30-04-2021 09:31,Low ceilings give me anxiety,0
1.39e+18,30-04-2021 22:47,Im so glad Im aware that my mother has her own issues and I know they have nothing to do with me but Im getting sick of being the bigger person,0
1.39e+18,30-04-2021 12:34,Yep relatable I care about people a lot but my anxiety and depression tells me I aint worth it to certain people so the communication gets withheld I normally act this way due to past trauma,0
1.39e+18,30-04-2021 08:41,MEOWampTHE BOIZ is a unique collection of MEOW the cat and his cheerful and creative frens  Each cat is dressed in his dopest costume MEOW and the boys are going to a party It could be your party so be ready nftart nftcollectors NFTcollection,1
1.38809e+18,30-04-2021 11:01,non desi moots what do yall call this pls dont disappoint me gen,0
1.38808e+18,30-04-2021 10:41,I can imagine Adrian and the fact youve kept relatively quiet about it is commendable Social Media is the source of most mental health issues now for the young and it must be held accountable,0
1.38808e+18,30-04-2021 10:30,Insomnia and Anxiety really pulled up and beat my ass tonight,0
1.38809e+18,30-04-2021 11:18,It might not be done with bad intentions but can still be very hurtful to people of that race or seen as wearing that race as a costume Just like how you can say or do something offensive without meaning to,0
1.39e+18,30-04-2021 12:00,Yar ap ese ksi ki cheated creativity me sawal nai kar saktin plz Its so blissful and touchy line ,0
1.38809e+18,30-04-2021 10:58,Slow down how communitybased communications can reduce stress StressAwarenessMonth,0
1.39e+18,30-04-2021 20:44,I thought John Mills was brilliant script was good and a great debut for Susannah York I saw Guinness acting too many times Im always happy to see Gordon Jackson wish hed been given more than loyal righthand man roles more often,1
1.39e+18,30-04-2021 18:38,Another satisfied customer,0
1.38809e+18,30-04-2021 11:22,Yes Always for me in Cali Im very sad that it doesnt exist on TC Have you seen my  lady anywhere Ty,0
1.39e+18,30-04-2021 04:17,It was just a blissful moment ,1
1.39e+18,30-04-2021 22:55,I felt this comment My mother ran out of wall space so she put a cross on the tree outside and Im just glad my printer is out of ink,0
1.39e+18,30-04-2021 20:46,This here will decide if I get a podium or not in no matter what the decision is Im so happy with how I drove tonight made the right moves at the right times and had so such pace on the alternate strat p to p on track p after the s After months of pain,0
1.38794e+18,30-04-2021 01:33,i cant not get over it its like their making fun of the victims who speak out abt abuse i already hate when the atp puts him in silly videos but this is something else is so hurtful and offensive to all women,0
