ids,time,tweet_text,tag
1.39e+18,30-04-2021 21:41,Yes just fancied it Its blissful,1
1.39e+18,30-04-2021 21:40,Great Relief and Blissful As Bobde out its Garbage  free ,1
1.39e+18,30-04-2021 21:36,My parents did register to stand a better chance of getting the vaccines though I heard it is not compulsory and you can just walk in and register on the spot,0
1.39e+18,30-04-2021 21:36,Writing a ship I genuinely love has inverted my mood and Im legit blissful all day,1
1.39e+18,30-04-2021 21:35,this might help you,1
1.39e+18,30-04-2021 21:33,Soothes in a few minutes blissful relief ,1
1.39e+18,30-04-2021 21:33,technos eternal torture is being okay the thing he fears the most is peace no matter how hard he tries everything is okay the wind never blows too hard the field never wilts its blissful he hates it,0
1.39e+18,30-04-2021 21:32,Wow Rude Aussie accents are the blissful to mine ears,1
1.39e+18,30-04-2021 21:32, pulled me today and let me rock Ramadan been too blissful ,0
1.39e+18,30-04-2021 21:32,I there now and its blissful,1
1.39e+18,30-04-2021 21:27,blissful,1
1.39e+18,30-04-2021 21:26,A joy to behold Being their must have been blissful,1
1.39e+18,30-04-2021 21:25,Not on any side but close with a Columbia grad student and it was pretty clear that UAW was shady as hell and paid people around bargaining committee to derail their strike You acting like all unions are benevolent is just blissful,0
1.39e+18,30-04-2021 21:19,A blissful sigh escaped her slender digits coursing through his golden locks Her heart could actually explode from happiness,1
1.39e+18,30-04-2021 21:17,Ignorance really do be blissful,1
1.39e+18,30-04-2021 21:17,Comfortable and blissful living at Cates Creek,1
1.39e+18,30-04-2021 21:15,Do we need to register for second dose of COVID Vaccine for ,0
1.39e+18,30-04-2021 21:14,I like how her albums tells stories of where she is in that moment of her life Like Sweetner is an album that always melts my heart cause its so blissful and she translates that feeling very well through the album But I dont think seven rings was that creative for ex,1
1.39e+18,30-04-2021 21:13,Im not a Trump supporter and I imagine your life must be so blissful with how ignorant you are lol Go on about your politics though chief,0
1.39e+18,30-04-2021 21:13,A place to live but the deposit is killing me,1
1.39e+18,30-04-2021 21:12,Considering how everything is right now would you rather choose to be aware of your greatest fears approach or choose blissful ignorance,0
1.39e+18,30-04-2021 21:10,FF blissful moments,1
1.39e+18,30-04-2021 21:08,I mean come on How amazing would that be to know your body wouldnt be rotting in the forsaken ground but floating across the void never decomposing never changing Ita blissful to think about tbh ,0
